Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration,Permeability,FOS
15,15,45,10,16,0.001,1.215
15,15,45,10,20,0.001,1.214
15,15,45,10,24,0.001,1.202
15,15,45,30,0,0.001,1.222
15,15,45,30,1,0.001,1.22
15,15,45,30,2,0.001,1.218
15,15,45,30,3,0.001,1.217
15,15,45,30,4,0.001,1.216
15,15,45,30,8,0.001,1.201
15,15,45,30,12,0.001,1.199
15,15,45,30,16,0.001,1.199
15,15,45,30,20,0.001,1.199
15,15,45,30,24,0.001,1.199
15,15,45,60,0,0.001,1.222
15,15,45,60,1,0.001,1.218
15,15,45,60,2,0.001,1.215
15,15,45,60,3,0.001,1.199
15,15,45,60,4,0.001,1.198
15,15,45,60,8,0.001,1.195
15,15,45,60,12,0.001,1.194
15,15,45,60,16,0.001,1.194
15,15,45,60,20,0.001,1.194
15,15,45,60,24,0.001,1.194
15,20,45,10,0,0.001,1.467
15,20,45,10,1,0.001,1.466
15,20,45,10,2,0.001,1.465
15,20,45,10,3,0.001,1.465
15,20,45,10,4,0.001,1.464
15,20,45,10,8,0.001,1.463
15,20,45,10,12,0.001,1.461
15,20,45,10,16,0.001,1.46
15,20,45,10,20,0.001,1.459
15,20,45,10,24,0.001,1.459
15,20,45,30,0,0.001,1.467
15,20,45,30,1,0.001,1.465
15,20,45,30,2,0.001,1.463
15,20,45,30,3,0.001,1.462
15,20,45,30,4,0.001,1.461
15,20,45,30,8,0.001,1.457
15,20,45,30,12,0.001,1.455
15,20,45,30,16,0.001,1.454
15,20,45,30,20,0.001,1.454
15,20,45,30,24,0.001,1.454
15,20,45,60,0,0.001,1.467
15,20,45,60,1,0.001,1.463
15,20,45,60,2,0.001,1.46
15,20,45,60,3,0.001,1.458
15,20,45,60,4,0.001,1.455
15,20,45,60,8,0.001,1.449
15,20,45,60,12,0.001,1.449
15,20,45,60,16,0.001,1.449
15,20,45,60,20,0.001,1.449
15,20,45,60,24,0.001,1.449
20,0,45,10,0,0.001,0.454
20,0,45,10,1,0.001,0.452
